k,alpha,beta,size,edge_num,ngil,nsil,num_of_clusters,time,method,seed
6,1.0,0.0,500,36254,0.1708,0.0084,83,445.258,Precision,4
6,1.0,0.5,100,362,0.3559,0.0405,16,1.9871,Precision,4
6,1.0,0.5,300,6084,0.2129,0.0088,50,45.4465,Precision,4
6,1.0,0.5,500,36254,0.2332,0.0021,83,557.3015,Precision,4
6,0.5,1.0,100,362,0.3692,0.0384,16,1.9747,Precision,4
6,0.5,1.0,300,6084,0.277,0.0008,50,42.5537,Precision,4
6,0.5,1.0,500,36254,0.2842,0.0002,83,386.1616,Precision,4
6,0.5,0.5,100,362,0.3582,0.0369,16,1.9676,Precision,4
6,0.5,0.5,300,6084,0.2322,0.0037,50,43.6486,Precision,4
6,0.5,0.5,500,36254,0.2582,0.0008,83,390.9766,Precision,4
6,1.0,1.0,100,362,0.3582,0.0369,16,1.9599,Precision,4
6,1.0,1.0,300,6084,0.2322,0.0037,50,43.5944,Precision,4
6,1.0,1.0,500,36254,0.2582,0.0008,83,392.7918,Precision,4
8,1.0,0.0,100,362,0.4367,0.0964,12,2.3108,Precision,4
8,1.0,0.0,300,6084,0.2959,0.0188,37,58.9717,Precision,4
8,1.0,0.0,500,36254,0.2111,0.0186,62,580.3595,Precision,4
8,1.0,0.5,100,362,0.4092,0.0826,12,2.3537,Precision,4
8,1.0,0.5,300,6084,0.3201,0.0172,37,59.966,Precision,4
8,1.0,0.5,500,36254,0.3086,0.0054,62,545.1772,Precision,4
8,0.5,1.0,100,362,0.4526,0.0882,12,2.3511,Precision,4
8,0.5,1.0,300,6084,0.3716,0.0012,37,56.5861,Precision,4
8,0.5,1.0,500,36254,0.3621,0.0002,62,518.7314,Precision,4
8,0.5,0.5,100,362,0.4118,0.0801,12,2.3572,Precision,4
8,0.5,0.5,300,6084,0.3365,0.0122,37,57.1687,Precision,4
8,0.5,0.5,500,36254,0.3276,0.0019,62,522.5127,Precision,4
8,1.0,1.0,100,362,0.4118,0.0801,12,2.3558,Precision,4
8,1.0,1.0,300,6084,0.3365,0.0122,37,58.0296,Precision,4
8,1.0,1.0,500,36254,0.3276,0.0019,62,1131.7029,Precision,4
10,1.0,0.0,100,362,0.3617,0.1346,10,2.4252,Precision,4
10,1.0,0.0,300,6084,0.2887,0.0376,30,71.1119,Precision,4
10,1.0,0.0,500,36254,0.2302,0.0343,50,724.9888,Precision,4
10,1.0,0.5,100,362,0.3605,0.1352,10,2.4628,Precision,4
10,1.0,0.5,300,6084,0.3487,0.043,30,71.3932,Precision,4
10,1.0,0.5,500,36254,0.3229,0.009,50,675.8365,Precision,4
10,0.5,1.0,100,362,0.4273,0.1318,10,2.5139,Precision,4
10,0.5,1.0,300,6084,0.3775,0.0173,30,67.5753,Precision,4
10,0.5,1.0,500,36254,0.3842,0.0001,50,975.6781,Precision,4
10,0.5,0.5,100,362,0.3792,0.1347,10,2.475,Precision,4
10,0.5,0.5,300,6084,0.3476,0.0261,30,69.4495,Precision,4
10,0.5,0.5,500,36254,0.3697,0.0066,50,652.594,Precision,4
10,1.0,1.0,100,362,0.3792,0.1347,10,2.47,Precision,4
10,1.0,1.0,300,6084,0.3476,0.0261,30,69.0079,Precision,4
10,1.0,1.0,500,36254,0.3697,0.0066,50,651.2809,Precision,4
2,1.0,0.0,100,362,0.343,0.0,50,0.39,Discernibility,4
2,1.0,0.0,300,6084,0.3647,0.0001,150,11.8041,Discernibility,4
2,1.0,0.0,500,36254,0.3604,0.0,250,121.2667,Discernibility,4
2,1.0,0.5,100,362,0.3396,0.0,50,0.3589,Discernibility,4
2,1.0,0.5,300,6084,0.3485,0.0,150,9.4356,Discernibility,4
2,1.0,0.5,500,36254,0.3669,0.0,250,92.8871,Discernibility,4
2,0.5,1.0,100,362,0.3396,0.0,50,0.359,Discernibility,4
2,0.5,1.0,300,6084,0.3485,0.0,150,9.4161,Discernibility,4
2,0.5,1.0,500,36254,0.3669,0.0,250,93.1399,Discernibility,4
2,0.5,0.5,100,362,0.3396,0.0,50,0.3584,Discernibility,4
2,0.5,0.5,300,6084,0.3485,0.0,150,9.4326,Discernibility,4
2,0.5,0.5,500,36254,0.3669,0.0,250,93.285,Discernibility,4
2,1.0,1.0,100,362,0.3396,0.0,50,0.359,Discernibility,4
2,1.0,1.0,300,6084,0.3485,0.0,150,9.4298,Discernibility,4
2,1.0,1.0,500,36254,0.3669,0.0,250,92.9074,Discernibility,4
4,1.0,0.0,100,362,0.5826,0.0071,25,0.7262,Discernibility,4
4,1.0,0.0,300,6084,0.5881,0.0027,75,27.6692,Discernibility,4
4,1.0,0.0,500,36254,0.6054,0.0026,125,285.9663,Discernibility,4
4,1.0,0.5,100,362,0.5882,0.0065,25,0.7156,Discernibility,4
4,1.0,0.5,300,6084,0.5956,0.0001,75,22.7976,Discernibility,4
4,1.0,0.5,500,36254,0.5993,0.0,125,231.3216,Discernibility,4
4,0.5,1.0,100,362,0.5882,0.0065,25,0.7123,Discernibility,4
4,0.5,1.0,300,6084,0.5956,0.0001,75,22.7629,Discernibility,4
4,0.5,1.0,500,36254,0.5993,0.0,125,230.9838,Discernibility,4
4,0.5,0.5,100,362,0.5882,0.0065,25,0.7179,Discernibility,4
4,0.5,0.5,300,6084,0.5956,0.0001,75,22.9162,Discernibility,4
4,0.5,0.5,500,36254,0.5993,0.0,125,231.4906,Discernibility,4
4,1.0,1.0,100,362,0.5882,0.0065,25,0.7136,Discernibility,4
